origin,destination,year,inflows
Belgium,Estonia,2010,6
Belgium,Estonia,2011,0
Belgium,Estonia,2012,0
Belgium,Estonia,2013,0
Belgium,Estonia,2014,1
Belgium,Estonia,2015,50
Belgium,Estonia,2016,43
Belgium,Slovenia,2007,20
Belgium,Slovenia,2008,20
Belgium,Slovenia,2009,27
Belgium,Slovenia,2010,23
Belgium,Slovenia,2011,28
Belgium,Slovenia,2012,45
Belgium,Slovenia,2013,47
Belgium,Slovenia,2014,47
Belgium,Slovenia,2015,44
Belgium,Slovenia,2016,47
Czech Republic,Austria,2000,1314
Czech Republic,Austria,2001,1380
Czech Republic,Austria,2002,1160
Czech Republic,Austria,2003,1216
Czech Republic,Austria,2004,1403
Czech Republic,Austria,2005,1270
Czech Republic,Austria,2006,1184
Czech Republic,Austria,2007,1246
Czech Republic,Austria,2008,1323
Czech Republic,Austria,2009,1251
Czech Republic,Austria,2010,1144
Czech Republic,Austria,2011,1565
Czech Republic,Austria,2012,1755
Czech Republic,Austria,2013,1815
Czech Republic,Austria,2014,1834
Czech Republic,Austria,2015,1760
Czech Republic,Austria,2016,1527
Czech Republic,Belgium,2008,526
Czech Republic,Belgium,2009,525
Czech Republic,Belgium,2010,556
Czech Republic,Belgium,2011,560
Czech Republic,Belgium,2012,498
Czech Republic,Belgium,2013,500
Czech Republic,Belgium,2014,388
Czech Republic,Belgium,2015,341
Czech Republic,Belgium,2016,292
Czech Republic,Denmark,2000,52
Czech Republic,Denmark,2001,42
Czech Republic,Denmark,2002,51
Czech Republic,Denmark,2003,45
Czech Republic,Denmark,2004,81
Czech Republic,Denmark,2005,97
Czech Republic,Denmark,2006,111
Czech Republic,Denmark,2007,116
Czech Republic,Denmark,2008,146
Czech Republic,Denmark,2009,131
Czech Republic,Denmark,2010,131
Czech Republic,Denmark,2011,166
Czech Republic,Denmark,2012,155
Czech Republic,Denmark,2013,165
Czech Republic,Denmark,2014,270
Czech Republic,Denmark,2015,338
Czech Republic,Denmark,2016,338
Czech Republic,Finland,2000,31
Czech Republic,Finland,2001,28
Czech Republic,Finland,2002,20
Czech Republic,Finland,2003,33
Czech Republic,Finland,2004,31
Czech Republic,Finland,2005,36
Czech Republic,Finland,2006,48
Czech Republic,Finland,2007,58
Czech Republic,Finland,2008,41
Czech Republic,Finland,2009,50
Czech Republic,Finland,2010,45
Czech Republic,Finland,2011,47
Czech Republic,Finland,2012,62
Czech Republic,Finland,2013,51
Czech Republic,Finland,2014,70
Czech Republic,Finland,2015,69
Czech Republic,Finland,2016,69
Czech Republic,France,2000,164
Czech Republic,France,2001,200
Czech Republic,France,2002,197
Czech Republic,France,2003,163
Czech Republic,France,2004,137
Czech Republic,France,2005,85
Czech Republic,France,2006,0
Czech Republic,France,2007,0
Czech Republic,France,2008,0
Czech Republic,France,2009,0
Czech Republic,France,2010,0
Czech Republic,France,2011,0
Czech Republic,France,2012,0
Czech Republic,France,2013,640
Czech Republic,France,2014,525
Czech Republic,France,2015,518
Czech Republic,France,2016,406
Czech Republic,Germany,2000,11148
Czech Republic,Germany,2001,10986
Czech Republic,Germany,2002,10236
Czech Republic,Germany,2003,8447
Czech Republic,Germany,2004,8947
Czech Republic,Germany,2005,8459
Czech Republic,Germany,2006,7844
Czech Republic,Germany,2007,6778
Czech Republic,Germany,2008,6309
Czech Republic,Germany,2009,5924
Czech Republic,Germany,2010,6063
Czech Republic,Germany,2011,8255
Czech Republic,Germany,2012,9221
Czech Republic,Germany,2013,9963
Czech Republic,Germany,2014,10776
Czech Republic,Germany,2015,10974
Czech Republic,Germany,2016,9621
Czech Republic,Hungary,2001,0
Czech Republic,Hungary,2002,0
